,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
1447,"frozenset({31618321.0, 31618300.0})",frozenset({31618475.0}),0.004919423240033927,0.0071246819338422395,0.0010178117048346056,0.20689655172413793,29.03940886699507,0.0009827623789514122,1.2518862706051554,0.9703375383566314
1448,"frozenset({31618475.0, 31618300.0})",frozenset({31618321.0}),0.002714164546225615,0.007972858354537744,0.0010178117048346056,0.375,47.034574468085104,0.0009961720553566405,1.5872434266327395,0.9814027328910813
1449,frozenset({31618321.0}),"frozenset({31618475.0, 31618300.0})",0.007972858354537744,0.002714164546225615,0.0010178117048346056,0.1276595744680851,47.034574468085104,0.0009961720553566405,1.1432301040567656,0.9866051071591426
1450,frozenset({31618475.0}),"frozenset({31618321.0, 31618300.0})",0.0071246819338422395,0.004919423240033927,0.0010178117048346056,0.14285714285714285,29.039408866995075,0.0009827623789514122,1.1609273395532937,0.9724927387664446
1451,frozenset({31618300.0}),"frozenset({31618321.0, 31618475.0})",0.01441899915182358,0.0013570822731128074,0.0010178117048346056,0.07058823529411765,52.01470588235294,0.000998243936689637,1.0744892152757646,0.9951233505450371
1452,"frozenset({31618475.0, 31618405.0})",frozenset({32988382.0}),0.003223070398642918,0.007463952502120441,0.0011874469889737065,0.3684210526315789,49.36004784688995,0.0011633901446072455,1.5715154085383094,0.9829086842361179
1453,"frozenset({31618475.0, 32988382.0})",frozenset({31618405.0}),0.0011874469889737065,0.010008481764206954,0.0011874469889737065,1.0,99.91525423728814,0.0011755624474386007,inf,0.9911684782608696
1454,"frozenset({31618405.0, 32988382.0})",frozenset({31618475.0}),0.0035623409669211198,0.0071246819338422395,0.0011874469889737065,0.3333333333333333,46.78571428571428,0.0011620664426444975,1.4893129770992366,0.9821246169560776
1455,frozenset({31618475.0}),"frozenset({31618405.0, 32988382.0})",0.0071246819338422395,0.0035623409669211198,0.0011874469889737065,0.16666666666666666,46.78571428571428,0.0011620664426444975,1.1957251908396946,0.9856483854433622
1456,frozenset({31618405.0}),"frozenset({31618475.0, 32988382.0})",0.010008481764206954,0.0011874469889737065,0.0011874469889737065,0.11864406779661017,99.91525423728814,0.0011755624474386007,1.1332680889932798,1.0
1457,frozenset({32988382.0}),"frozenset({31618475.0, 31618405.0})",0.007463952502120441,0.003223070398642918,0.0011874469889737065,0.1590909090909091,49.36004784688995,0.0011633901446072455,1.1853563487151273,0.987108430793271
1458,"frozenset({31618475.0, 31618300.0})",frozenset({33700716.0}),0.002714164546225615,0.26174724342663275,0.0010178117048346056,0.375,1.4326798444588464,0.00030738661665375333,1.1812044105173876,0.3028292793558995
1459,"frozenset({33700716.0, 31618300.0})",frozenset({31618475.0}),0.005937234944868533,0.0071246819338422395,0.0010178117048346056,0.17142857142857143,24.06122448979592,0.0009755107942859239,1.1982977976660527,0.9641638225255972
1460,"frozenset({31618475.0, 33700716.0})",frozenset({31618300.0}),0.002035623409669211,0.01441899915182358,0.0010178117048346056,0.5,34.67647058823529,0.000988460052617153,1.971162001696353,0.9731429542750297
1461,frozenset({31618300.0}),"frozenset({31618475.0, 33700716.0})",0.01441899915182358,0.002035623409669211,0.0010178117048346056,0.07058823529411765,34.6764705882353,0.000988460052617153,1.0737591393693433,0.9853700516351118
1462,frozenset({31618475.0}),"frozenset({33700716.0, 31618300.0})",0.0071246819338422395,0.005937234944868533,0.0010178117048346056,0.14285714285714285,24.061224489795915,0.0009755107942859239,1.1597398925643199,0.9653169314881258
1463,frozenset({33700716.0}),"frozenset({31618475.0, 31618300.0})",0.26174724342663275,0.002714164546225615,0.0010178117048346056,0.0038885288399222295,1.4326798444588464,0.00030738661665375333,1.001178948669599,0.40908394607843135
1464,"frozenset({31618475.0, 33700716.0})",frozenset({31618405.0}),0.002035623409669211,0.010008481764206954,0.0010178117048346056,0.5,49.95762711864407,0.0009974382050601386,1.979983036471586,0.9819819819819819
1465,"frozenset({31618475.0, 31618405.0})",frozenset({33700716.0}),0.003223070398642918,0.26174724342663275,0.0010178117048346056,0.3157894736842105,1.2064672374390284,0.00017418191261984355,1.0789847980687675,0.17168708872248692
1466,"frozenset({33700716.0, 31618405.0})",frozenset({31618475.0}),0.0039016115351993216,0.0071246819338422395,0.0010178117048346056,0.2608695652173913,36.61490683229813,0.0009900139636169006,1.3433019009130371,0.97649863760218
1467,frozenset({31618475.0}),"frozenset({33700716.0, 31618405.0})",0.0071246819338422395,0.0039016115351993216,0.0010178117048346056,0.14285714285714285,36.61490683229813,0.0009900139636169006,1.1621147865422674,0.9796685460447635
1468,frozenset({33700716.0}),"frozenset({31618475.0, 31618405.0})",0.26174724342663275,0.003223070398642918,0.0010178117048346056,0.0038885288399222295,1.2064672374390284,0.00017418191261984355,1.0006680561970682,0.23180912990196076
1469,frozenset({31618405.0}),"frozenset({31618475.0, 33700716.0})",0.010008481764206954,0.002035623409669211,0.0010178117048346056,0.1016949152542373,49.95762711864407,0.0009974382050601386,1.110941475826972,0.9898903358464703
1470,"frozenset({31618475.0, 31618405.0})",frozenset({34129942.0}),0.003223070398642918,0.012553011026293468,0.002035623409669211,0.631578947368421,50.31294452347084,0.0019951641714165266,2.6802132557857745,0.9832936237803495
1471,"frozenset({31618475.0, 34129942.0})",frozenset({31618405.0}),0.002374893977947413,0.010008481764206954,0.002035623409669211,0.8571428571428571,85.64164648910412,0.0020118543265989996,6.929940627650549,0.9906761888567704
1472,"frozenset({31618405.0, 34129942.0})",frozenset({31618475.0}),0.006446140797285836,0.0071246819338422395,0.002035623409669211,0.3157894736842105,44.323308270676684,0.0019896967067877854,1.4511254648659229,0.9837800921973706
1473,frozenset({31618475.0}),"frozenset({31618405.0, 34129942.0})",0.0071246819338422395,0.006446140797285836,0.002035623409669211,0.2857142857142857,44.323308270676684,0.0019896967067877854,1.3909754028838,0.9844524175636427
1474,frozenset({31618405.0}),"frozenset({31618475.0, 34129942.0})",0.010008481764206954,0.002374893977947413,0.002035623409669211,0.2033898305084746,85.64164648910412,0.0020118543265989996,1.2523378990489595,0.9983150559744117
1475,frozenset({34129942.0}),"frozenset({31618475.0, 31618405.0})",0.012553011026293468,0.003223070398642918,0.002035623409669211,0.16216216216216217,50.31294452347084,0.0019951641714165266,1.1897014966209747,0.9925843211361163
1476,"frozenset({31618475.0, 31618300.0})",frozenset({34129942.0}),0.002714164546225615,0.012553011026293468,0.0015267175572519084,0.5625,44.80996621621622,0.0014926466197759634,2.257021689082758,0.9803443518361021
1477,"frozenset({31618475.0, 34129942.0})",frozenset({31618300.0}),0.002374893977947413,0.01441899915182358,0.0015267175572519084,0.6428571428571429,44.58403361344538,0.0014924739629982137,2.7596268023748944,0.9798975986699164
1478,"frozenset({31618300.0, 34129942.0})",frozenset({31618475.0}),0.007803223070398643,0.0071246819338422395,0.0015267175572519084,0.19565217391304346,27.4611801242236,0.001471122074816498,1.2343855305687368,0.9711631617940388
1479,frozenset({31618475.0}),"frozenset({31618300.0, 34129942.0})",0.0071246819338422395,0.007803223070398643,0.0015267175572519084,0.21428571428571427,27.4611801242236,0.001471122074816498,1.2627958979104017,0.9704994589669115
1480,frozenset({31618300.0}),"frozenset({31618475.0, 34129942.0})",0.01441899915182358,0.002374893977947413,0.0015267175572519084,0.10588235294117647,44.58403361344538,0.0014924739629982137,1.1157649212088745,0.9918722509083955
1481,frozenset({34129942.0}),"frozenset({31618475.0, 31618300.0})",0.012553011026293468,0.002714164546225615,0.0015267175572519084,0.12162162162162163,44.80996621621622,0.0014926466197759634,1.1353715665166046,0.9901124281814886
1482,"frozenset({31618475.0, 31618300.0, 31618405.0})",frozenset({34129942.0}),0.002035623409669211,0.012553011026293468,0.0013570822731128074,0.6666666666666666,53.108108108108105,0.0013315290700058487,2.9623409669211194,0.9831718510963794
1483,"frozenset({31618475.0, 31618300.0, 34129942.0})",frozenset({31618405.0}),0.0015267175572519084,0.010008481764206954,0.0013570822731128074,0.8888888888888888,88.8135593220339,0.001341802148281957,8.909923664122132,0.9902522935779815
1484,"frozenset({31618475.0, 31618405.0, 34129942.0})",frozenset({31618300.0}),0.002035623409669211,0.01441899915182358,0.0013570822731128074,0.6666666666666666,46.23529411764706,0.001327730620895355,2.956743002544529,0.9803671596124427
1485,"frozenset({31618300.0, 31618405.0, 34129942.0})",frozenset({31618475.0}),0.004919423240033927,0.0071246819338422395,0.0013570822731128074,0.27586206896551724,38.71921182266009,0.001322032947229614,1.371113534472313,0.9789890896692807
