,product_group,confidence,support,lift
4989,"frozenset({31047520.0, 31047464.0, 31047450.0, 31047436.0}),frozenset({31047492.0, 35661703.0})",1.0,0.0010826771653543307,923.6363636363636
6134,"frozenset({31047450.0, 31047485.0, 31047492.0, 31047436.0}),frozenset({31047520.0, 31047415.0})",1.0,0.0010826771653543307,508.0
6136,"frozenset({31047450.0, 31047436.0, 31047485.0, 31047415.0}),frozenset({31047520.0, 31047492.0})",1.0,0.0010826771653543307,406.4
4991,"frozenset({31047464.0, 31047450.0, 31047492.0, 35661703.0}),frozenset({31047520.0, 31047436.0})",1.0,0.0010826771653543307,781.5384615384615
6141,"frozenset({31047520.0, 31047436.0, 31047415.0}),frozenset({31047450.0, 31047492.0, 31047485.0})",1.0,0.0010826771653543307,564.4444444444445
4990,"frozenset({31047464.0, 31047492.0, 31047436.0, 35661703.0}),frozenset({31047520.0, 31047450.0})",1.0,0.0010826771653543307,534.7368421052631
6143,"frozenset({31047520.0, 31047436.0, 31047485.0}),frozenset({31047450.0, 31047492.0, 31047415.0})",1.0,0.0010826771653543307,635.0
6147,"frozenset({31047492.0, 31047436.0, 31047415.0}),frozenset({31047520.0, 31047450.0, 31047485.0})",1.0,0.0010826771653543307,597.6470588235294
4988,"frozenset({31047520.0, 31047450.0, 31047436.0, 35661703.0}),frozenset({31047464.0, 31047492.0})",1.0,0.0010826771653543307,441.7391304347826
6166,"frozenset({31047436.0, 31047415.0}),frozenset({31047520.0, 31047450.0, 31047492.0, 31047485.0})",1.0,0.0010826771653543307,597.6470588235294
6149,"frozenset({31047485.0, 31047492.0, 31047436.0}),frozenset({31047520.0, 31047450.0, 31047415.0})",1.0,0.0010826771653543307,677.3333333333334
6153,"frozenset({31047450.0, 31047436.0, 31047415.0}),frozenset({31047520.0, 31047492.0, 31047485.0})",1.0,0.0010826771653543307,483.8095238095238
6154,"frozenset({31047436.0, 31047485.0, 31047415.0}),frozenset({31047520.0, 31047450.0, 31047492.0})",1.0,0.0010826771653543307,534.7368421052631
6155,"frozenset({31047450.0, 31047436.0, 31047485.0}),frozenset({31047520.0, 31047492.0, 31047415.0})",1.0,0.0010826771653543307,564.4444444444445
4987,"frozenset({31047520.0, 31047464.0, 31047450.0, 35661703.0}),frozenset({31047492.0, 31047436.0})",1.0,0.0010826771653543307,846.6666666666666
3892,"frozenset({31047520.0, 31047401.0, 31047450.0, 31047485.0}),frozenset({31047415.0})",1.0,0.0010826771653543307,260.5128205128205
4986,"frozenset({31047520.0, 31047464.0, 31047436.0, 35661703.0}),frozenset({31047450.0, 31047492.0})",1.0,0.0010826771653543307,508.0
4980,"frozenset({31047520.0, 31047464.0, 31047492.0, 35661703.0}),frozenset({31047450.0, 31047436.0})",1.0,0.0010826771653543307,846.6666666666666
6196,"frozenset({31047401.0, 31047450.0, 31047436.0, 31047485.0}),frozenset({31047520.0, 31047415.0})",1.0,0.0010826771653543307,508.0
3864,"frozenset({31047401.0, 31047450.0, 31047492.0, 31047485.0}),frozenset({31047520.0})",1.0,0.0010826771653543307,290.2857142857143
4967,"frozenset({31047450.0, 35661703.0}),frozenset({31047520.0, 31047464.0, 31047492.0})",1.0,0.0010826771653543307,483.8095238095238
4975,"frozenset({31047520.0, 31047492.0, 35661703.0, 31047464.0, 31047450.0}),frozenset({31047436.0})",1.0,0.0010826771653543307,508.0
2331,"frozenset({31047464.0, 35662515.0, 31047492.0}),frozenset({35662564.0})",1.0,0.0010826771653543307,461.8181818181818
4974,"frozenset({31047520.0, 31047492.0, 35661703.0, 31047464.0, 31047436.0}),frozenset({31047450.0})",1.0,0.0010826771653543307,282.22222222222223
6215,"frozenset({31047450.0, 31047436.0, 31047415.0}),frozenset({31047520.0, 31047401.0, 31047485.0})",1.0,0.0010826771653543307,725.7142857142858
824,"frozenset({31047464.0, 34498282.0}),frozenset({31047492.0})",1.0,0.0011811023622047244,307.8787878787879
6216,"frozenset({31047436.0, 31047485.0, 31047415.0}),frozenset({31047520.0, 31047401.0, 31047450.0})",1.0,0.0010826771653543307,923.6363636363636
6217,"frozenset({31047450.0, 31047436.0, 31047485.0}),frozenset({31047520.0, 31047401.0, 31047415.0})",1.0,0.0010826771653543307,781.5384615384615
820,"frozenset({34498282.0, 31047492.0}),frozenset({31047520.0})",1.0,0.001279527559055118,290.2857142857143
6211,"frozenset({31047401.0, 31047436.0, 31047485.0}),frozenset({31047520.0, 31047450.0, 31047415.0})",1.0,0.0010826771653543307,677.3333333333334
4966,"frozenset({31047464.0, 35661703.0}),frozenset({31047520.0, 31047450.0, 31047492.0})",1.0,0.0010826771653543307,534.7368421052631
818,"frozenset({31047520.0, 34498282.0}),frozenset({31047492.0})",1.0,0.001279527559055118,307.8787878787879
3868,"frozenset({31047520.0, 31047401.0, 31047450.0}),frozenset({31047492.0, 31047485.0})",1.0,0.0010826771653543307,406.4
6228,"frozenset({31047436.0, 31047415.0}),frozenset({31047520.0, 31047401.0, 31047450.0, 31047485.0})",1.0,0.0010826771653543307,923.6363636363636
4963,"frozenset({31047492.0, 35661703.0}),frozenset({31047520.0, 31047464.0, 31047450.0})",1.0,0.0010826771653543307,635.0
4960,"frozenset({31047520.0, 35661703.0}),frozenset({31047464.0, 31047450.0, 31047492.0})",1.0,0.0010826771653543307,597.6470588235294
6240,"frozenset({31047520.0, 31047492.0, 31047401.0, 31047436.0, 31047415.0}),frozenset({31047485.0})",1.0,0.0010826771653543307,131.94805194805195
831,"frozenset({34498282.0, 31047485.0}),frozenset({31047492.0})",1.0,0.0010826771653543307,307.8787878787879
6210,"frozenset({31047401.0, 31047450.0, 31047436.0}),frozenset({31047520.0, 31047485.0, 31047415.0})",1.0,0.0010826771653543307,508.0
3890,"frozenset({31047520.0, 31047401.0, 31047450.0, 31047415.0}),frozenset({31047485.0})",1.0,0.0010826771653543307,131.94805194805195
6201,"frozenset({31047520.0, 31047401.0, 31047450.0}),frozenset({31047436.0, 31047485.0, 31047415.0})",1.0,0.0010826771653543307,923.6363636363636
853,"frozenset({34498282.0, 31047492.0, 31047485.0}),frozenset({31047520.0})",1.0,0.0010826771653543307,290.2857142857143
4979,"frozenset({31047492.0, 35661703.0, 31047464.0, 31047436.0, 31047450.0}),frozenset({31047520.0})",1.0,0.0010826771653543307,290.2857142857143
851,"frozenset({31047520.0, 34498282.0, 31047485.0}),frozenset({31047492.0})",1.0,0.0010826771653543307,307.8787878787879
4978,"frozenset({31047520.0, 35661703.0, 31047464.0, 31047436.0, 31047450.0}),frozenset({31047492.0})",1.0,0.0010826771653543307,307.8787878787879
6198,"frozenset({31047450.0, 31047436.0, 31047485.0, 31047415.0}),frozenset({31047520.0, 31047401.0})",1.0,0.0010826771653543307,635.0
6199,"frozenset({31047520.0, 31047401.0, 31047436.0}),frozenset({31047450.0, 31047485.0, 31047415.0})",1.0,0.0010826771653543307,441.7391304347826
2325,"frozenset({35662704.0, 31047492.0}),frozenset({35662515.0})",1.0,0.0010826771653543307,564.4444444444445
4977,"frozenset({31047520.0, 31047492.0, 31047464.0, 31047436.0, 31047450.0}),frozenset({35661703.0})",1.0,0.0010826771653543307,677.3333333333334
